company_number,company_name,Directors_names,Registered_office_address,Company_status,company_type,incorporation_date,sic_code,Number_of_Officers,Number_of_Filings,Accounts_Filed,Recent_Changes,Filing_Summary
5331219,,"No directors",,,,,,0,0,0,0,
28990,,"No directors",,,,,,0,0,0,0,
9935904,,"No directors",,,,,,0,0,0,0,
9720536,,"No directors",,,,,,0,0,0,0,
4449030,,"No directors",,,,,,0,0,0,0,
9011064,,"No directors",,,,,,0,0,0,0,
64209,,"No directors",,,,,,0,0,0,0,
8030564,,"No directors",,,,,,0,0,0,0,
8903817,,"No directors",,,,,,0,0,0,0,
68209,,"No directors",,,,,,0,0,0,0,
9298330,,"No directors",,,,,,0,0,0,0,
8893367,,"No directors",,,,,,0,0,0,0,
9920601,,"No directors",,,,,,0,0,0,0,
8682591,,"No directors",,,,,,0,0,0,0,
6909230,,"No directors",,,,,,0,0,0,0,
6580547,,"No directors",,,,,,0,0,0,0,
182658,,"No directors",,,,,,0,0,0,0,
6647306,,"No directors",,,,,,0,0,0,0,
9774769,,"No directors",,,,,,0,0,0,0,
1960650,,"No directors",,,,,,0,0,0,0,
9844534,,"No directors",,,,,,0,0,0,0,
8784494,,"No directors",,,,,,0,0,0,0,
9283785,,"No directors",,,,,,0,0,0,0,
9754998,,"No directors",,,,,,0,0,0,0,
4790787,,"No directors",,,,,,0,0,0,0,
4647152,,"No directors",,,,,,0,0,0,0,
8381340,,"No directors",,,,,,0,0,0,0,
2927890,,"No directors",,,,,,0,0,0,0,
931654,,"No directors",,,,,,0,0,0,0,
1145787,,"No directors",,,,,,0,0,0,0,
8779360,,"No directors",,,,,,0,0,0,0,
9618670,,"No directors",,,,,,0,0,0,0,
6364369,,"No directors",,,,,,0,0,0,0,
2664182,,"No directors",,,,,,0,0,0,0,
9611663,,"No directors",,,,,,0,0,0,0,
6965712,,"No directors",,,,,,0,0,0,0,
4038911,,"No directors",,,,,,0,0,0,0,
6712115,,"No directors",,,,,,0,0,0,0,
9295942,,"No directors",,,,,,0,0,0,0,
9864555,,"No directors",,,,,,0,0,0,0,
5091892,,"No directors",,,,,,0,0,0,0,
9912038,,"No directors",,,,,,0,0,0,0,
8683406,,"No directors",,,,,,0,0,0,0,
9603083,,"No directors",,,,,,0,0,0,0,
9544914,,"No directors",,,,,,0,0,0,0,
8859317,,"No directors",,,,,,0,0,0,0,
3442971,,"No directors",,,,,,0,0,0,0,
2915428,,"No directors",,,,,,0,0,0,0,
7044789,,"No directors",,,,,,0,0,0,0,
9918006,,"No directors",,,,,,0,0,0,0,
9953119,,"No directors",,,,,,0,0,0,0,
7729637,,"No directors",,,,,,0,0,0,0,
5289714,,"No directors",,,,,,0,0,0,0,
6004093,,"No directors",,,,,,0,0,0,0,
1337234,,"No directors",,,,,,0,0,0,0,
9420670,,"No directors",,,,,,0,0,0,0,
8000899,,"No directors",,,,,,0,0,0,0,
780203,,"No directors",,,,,,0,0,0,0,
8101020,,"No directors",,,,,,0,0,0,0,
8895237,,"No directors",,,,,,0,0,0,0,
7095283,,"No directors",,,,,,0,0,0,0,
4784050,,"No directors",,,,,,0,0,0,0,
8302203,,"No directors",,,,,,0,0,0,0,
6785852,,"No directors",,,,,,0,0,0,0,
9246937,,"No directors",,,,,,0,0,0,0,
8559466,,"No directors",,,,,,0,0,0,0,
500235,,"No directors",,,,,,0,0,0,0,
9424945,,"No directors",,,,,,0,0,0,0,
6526504,,"No directors",,,,,,0,0,0,0,
9614978,,"No directors",,,,,,0,0,0,0,
9896118,,"No directors",,,,,,0,0,0,0,
9908657,,"No directors",,,,,,0,0,0,0,
9425475,,"No directors",,,,,,0,0,0,0,
9953265,,"No directors",,,,,,0,0,0,0,
9737645,,"No directors",,,,,,0,0,0,0,
7325207,,"No directors",,,,,,0,0,0,0,
9734573,,"No directors",,,,,,0,0,0,0,
7067342,,"No directors",,,,,,0,0,0,0,
6510512,,"No directors",,,,,,0,0,0,0,
7339299,,"No directors",,,,,,0,0,0,0,
9910321,,"No directors",,,,,,0,0,0,0,
8651780,,"No directors",,,,,,0,0,0,0,
3509907,,"No directors",,,,,,0,0,0,0,
8803955,,"No directors",,,,,,0,0,0,0,
9991513,,"No directors",,,,,,0,0,0,0,
4339294,,"No directors",,,,,,0,0,0,0,
660542,,"No directors",,,,,,0,0,0,0,
2953889,,"No directors",,,,,,0,0,0,0,
3753554,,"No directors",,,,,,0,0,0,0,
3569222,,"No directors",,,,,,0,0,0,0,
685886,,"No directors",,,,,,0,0,0,0,
9886143,,"No directors",,,,,,0,0,0,0,
