Provider,Category,Topic/Course,CPD Hours,Learning_Type,Learning_Outcomes,Course_Title,Subject_Area,CPD_Hours_Numeric,Delivery_Format,Target_Audience
AccountingCPD.net,Artificial Intelligence & Technology,AI Integration in Finance Teams,4,Course,Successfully integrating AI into finance functions,AI Integration in Finance Teams,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,AI for Accountants,4,Course,AI applications in accounting and strategic implementation,AI for Accountants,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Career Progression Pathway: Artificial Intelligence,21,Pathway,Comprehensive AI skills development for accountants,Career Progression Pathway: Artificial Intelligence,Artificial Intelligence & Technology,21.0,Career Progression Pathway,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Collective Intelligence in Accountancy,4,Course,Collaborative approaches to modern accounting challenges,Collective Intelligence in Accountancy,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Data Analytics and Visualization,4,Course,Financial data analysis and presentation techniques,Data Analytics and Visualization,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Excel Advanced Techniques,4,Course,Advanced Excel functionality and automation,Excel Advanced Techniques,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Power BI for Finance Professionals,4,Course,Business intelligence and dashboard creation,Power BI for Finance Professionals,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Technology for Modern Finance Functions,4,Course,Technology adoption and digital transformation,Technology for Modern Finance Functions,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,2024-25 Update: Auditing,4,Course,Annual auditing updates and new standards,2024-25 Update: Auditing,Audit & Assurance,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Audit & Assurance,Auditing: Forming an Opinion,4,Course,Audit opinion formation and decision-making processes,Auditing: Forming an Opinion,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Auditing: Relationship Management,4,Course,Managing client relationships in audit engagements,Auditing: Relationship Management,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Internal Auditing: A Risk-Based Approach,4,Course,Modern risk-based internal audit methodology,Internal Auditing: A Risk-Based Approach,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,International Audit,4,Course,International auditing standards and practices,International Audit,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Professional Scepticism,4,Course,Developing and applying professional skepticism in audits,Professional Scepticism,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Quality Management,4,Course,Audit quality management systems and controls,Quality Management,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Risk and Materiality,4,Course,Risk assessment and materiality in audit planning,Risk and Materiality,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Sustainability Reporting and Assurance,4,Course,ESG assurance and sustainability audit procedures,Sustainability Reporting and Assurance,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,The Audit Process,4,Course,Comprehensive audit process and regulatory standards,The Audit Process,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Big Data in Finance,4,Course,Managing and analyzing large financial datasets,Big Data in Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Business Intelligence Tools,4,Course,BI software applications for finance professionals,Business Intelligence Tools,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Career Progression Pathway: Finance Data Analysis,21,Pathway,Comprehensive data analysis skills for finance professionals,Career Progression Pathway: Finance Data Analysis,Data Analysis & Reporting,21.0,Career Progression Pathway,All Levels
AccountingCPD.net,Data Analysis & Reporting,Data Visualization Techniques,4,Course,Creating compelling data visualizations and infographics,Data Visualization Techniques,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Financial Dashboard Creation,4,Course,Building effective financial dashboards and KPIs,Financial Dashboard Creation,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Predictive Analytics in Finance,4,Course,Forecasting and predictive modeling techniques,Predictive Analytics in Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Statistical Analysis for Finance,4,Course,Statistical methods and applications in finance,Statistical Analysis for Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Using and Communicating with Data,4,Course,Data analysis and effective data communication,Using and Communicating with Data,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Carbon Accounting,4,Course,Greenhouse gas accounting and carbon footprint calculation,Carbon Accounting,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Climate Risk Assessment and Reporting,4,Course,Climate-related financial risk assessment and disclosure,Climate Risk Assessment and Reporting,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,ESG Data Collection and Verification,4,Course,ESG data management and assurance procedures,ESG Data Collection and Verification,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,ESG for Accountants,4,Course,"Environmental, social, and governance reporting for accountants",ESG for Accountants,ESG & Sustainability,4.0,Standard Course,All Levels
